player_id,name,club,status,match_score,ea_overall,detail
BRE19,Dango Ouattara,BRE,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
BRE20,Igor Thiago,BRE,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
BRE21,Jaidon Anthony,BRE,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
BRE22,Callum Wilson,BRE,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
CHE01,Robert Sanchez,CHE,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=29
CHE02,Emiliano Martinez,CHE,MATCHED,score=1.00,ea_overall=85,attrs_from_ea=29
CHE03,Reece James,CHE,MATCHED,score=1.00,ea_overall=81,attrs_from_ea=25
CHE04,Malo Gusto,CHE,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
CHE05,Marco Palestra,CHE,MATCHED,score=1.00,ea_overall=65,attrs_from_ea=25
CHE06,Wesley Fofana,CHE,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
CHE07,Trevoh Chalobah,CHE,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
CHE08,Levi Colwill,CHE,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=25
CHE09,Maxence Lacroix,CHE,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
CHE10,Aaron Anselmino,CHE,MATCHED,score=1.00,ea_overall=70,attrs_from_ea=25
CHE11,Jorrel Hato,CHE,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
CHE12,Pep Chavarria,CHE,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
CHE13,Valentin Barco,CHE,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
CHE14,Marc Cucurella,CHE,MATCHED,score=1.00,ea_overall=84,attrs_from_ea=25
CHE15,Moises Caicedo,CHE,MATCHED,score=1.00,ea_overall=87,attrs_from_ea=25
CHE16,Romeo Lavia,CHE,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
CHE17,Morgan Rogers,CHE,MATCHED,score=1.00,ea_overall=82,attrs_from_ea=25
CHE18,Geovany Quenda,CHE,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
CHE19,Cole Palmer,CHE,MATCHED,score=1.00,ea_overall=87,attrs_from_ea=25
CHE20,Pedro Neto,CHE,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=25
CHE21,Jamie Gittens,CHE,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
CHE22,Joao Pedro,CHE,AMBIGUOUS(4),,
CHE22,Joao Pedro,CHE,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
CHE23,Emmanuel Emegha,CHE,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
COV01,Dan Bentley,COV,AMBIGUOUS(2),,
COV01,Dan Bentley,COV,MATCHED,score=1.00,ea_overall=71,attrs_from_ea=29
COV02,Carl Rushworth,COV,MATCHED,score=1.00,ea_overall=72,attrs_from_ea=29
COV03,Milan van Ewijk,COV,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
COV04,Joel Latibeaudiere,COV,MATCHED,score=1.00,ea_overall=69,attrs_from_ea=25
COV05,Bobby Thomas,COV,MATCHED,score=1.00,ea_overall=71,attrs_from_ea=25
COV06,Liam Kitching,COV,MATCHED,score=1.00,ea_overall=70,attrs_from_ea=25
COV07,Ethan Pinnock,COV,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
COV08,Jay Dasilva,COV,MATCHED,score=1.00,ea_overall=69,attrs_from_ea=25
COV09,Ben Sheaf,COV,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
COV10,Josh Eccles,COV,MATCHED,score=0.96,ea_overall=70,attrs_from_ea=25
COV11,Victor Torp,COV,MATCHED,score=1.00,ea_overall=70,attrs_from_ea=25
COV12,Jack Rudoni,COV,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
COV13,Stephen Mfuni,COV,UNMATCHED,,
COV14,Haji Wright,COV,MATCHED,score=1.00,ea_overall=73,attrs_from_ea=25
COV15,Ephron Mason-Clark,COV,AMBIGUOUS(2),,
COV15,Ephron Mason-Clark,COV,MATCHED,score=1.00,ea_overall=71,attrs_from_ea=25
COV16,Rafael Rodrigues,COV,AMBIGUOUS(2),,
COV16,Rafael Rodrigues,COV,MATCHED,score=1.00,ea_overall=66,attrs_from_ea=25
COV17,Brandon Thomas-Asante,COV,AMBIGUOUS(2),,
COV17,Brandon Thomas-Asante,COV,MATCHED,score=1.00,ea_overall=69,attrs_from_ea=25
COV18,Norman Bassette,COV,MATCHED,score=1.00,ea_overall=66,attrs_from_ea=25
CRY01,Dean Henderson,CRY,MATCHED,score=1.00,ea_overall=81,attrs_from_ea=29
CRY02,Matt Turner,CRY,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=29
CRY03,Chris Richards,CRY,MATCHED,score=0.96,ea_overall=77,attrs_from_ea=25
CRY04,Daniel Munoz,CRY,MATCHED,score=1.00,ea_overall=81,attrs_from_ea=25
CRY05,Jaydee Canvot,CRY,MATCHED,score=1.00,ea_overall=70,attrs_from_ea=25
CRY06,Tyrick Mitchell,CRY,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
CRY07,Borna Sosa,CRY,MATCHED,score=1.00,ea_overall=73,attrs_from_ea=25
CRY08,Adam Wharton,CRY,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
CRY09,Will Hughes,CRY,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
CRY10,Daichi Kamada,CRY,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
CRY11,Jefferson Lerma,CRY,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
CRY12,Justin Devenny,CRY,MATCHED,score=1.00,ea_overall=71,attrs_from_ea=25
CRY13,Quinten Timber,CRY,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=25
CRY14,Anan Khalaili,CRY,MATCHED,score=1.00,ea_overall=73,attrs_from_ea=25
CRY15,Yeremy Pino,CRY,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=25
CRY16,Romain Esse,CRY,MATCHED,score=1.00,ea_overall=70,attrs_from_ea=25
CRY17,Ismaila Sarr,CRY,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
CRY18,Jean-Philippe Mateta,CRY,MATCHED,score=1.00,ea_overall=82,attrs_from_ea=25
CRY19,Eddie Nketiah,CRY,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
CRY20,Dwight McNeil,CRY,MATCHED,score=1.00,ea_overall=78,attrs_from_ea=25
CRY21,Brennan Johnson,CRY,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
EVE01,Jordan Pickford,EVE,MATCHED,score=1.00,ea_overall=84,attrs_from_ea=29
EVE02,Mark Travers,EVE,MATCHED,score=1.00,ea_overall=72,attrs_from_ea=29
EVE03,Tom King,EVE,MATCHED,score=1.00,ea_overall=64,attrs_from_ea=29
EVE04,Jake O'Brien,EVE,MATCHED,score=0.93,ea_overall=76,attrs_from_ea=25
EVE05,James Tarkowski,EVE,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=25
EVE06,Michael Keane,EVE,MATCHED,score=1.00,ea_overall=73,attrs_from_ea=25
EVE07,Jarrad Branthwaite,EVE,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
EVE08,Vitaliy Mykolenko,EVE,MATCHED,score=0.94,ea_overall=78,attrs_from_ea=25
EVE09,Ainsley Maitland-Niles,EVE,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
